98 93 572 | 0 315
117 100 686 | 89 98
117 100 406 | 0 179
105 96 528 | 0 278
99 97 253 | 0 318
106 100 605 | 0 395
117 100 822 | 0 323
109 99 616 | 0 349
117 100 316 | 0 273
117 100 102 | 0 298
105 96 214 | 85 100
109 99 230 | 0 390
106 100 307 | 0 338
117 100 458 | 0 249
109 99 977 | 89 98
117 100 300 | 0 183
117 100 66 | 78 98
117 100 176 | 0 195
117 100 665 | 0 379
117 100 42 | 0 381
117 100 376 | 0 306
117 100 462 | 0 181
117 100 180 | 0 262
117 100 62 | 0 250
117 100 100 | 0 254
109 99 4 | 0 275
117 100 182 | 0 223
105 96 176 | 85 95
117 100 634 | 0 195
117 100 438 | 80 91
117 100 484 | 0 394
117 100 240 | 0 283
117 100 788 | 109 99
109 99 760 | 85 95
117 100 298 | 0 214
106 100 241 | 0 243
109 99 896 | 89 98
109 99 486 | 0 285
117 100 932 | 0 288
117 100 326 | 0 328
117 100 308 | 0 294
117 100 868 | 0 320
117 100 438 | 0 330
117 100 90 | 0 269
99 97 427 | 51 64
117 100 240 | 0 359
117 100 642 | 0 290
105 96 708 | 0 268
117 100 248 | 91 78
117 100 333 | 0 290
106 100 67 | 0 426
117 100 382 | 0 160
117 100 462 | 0 390
117 100 642 | 0 361
117 100 466 | 87 93
117 100 822 | 0 247
117 100 76 | 0 373
117 100 388 | 33 43
117 100 852 | 106 100
105 96 680 | 91 91
117 100 40 | 0 359
109 99 278 | 0 349
117 100 592 | 0 312
109 99 338 | 0 300
117 100 974 | 0 470
117 100 902 | 0 273
109 99 353 | 90 92
117 100 236 | 91 91
109 99 878 | 0 411
117 100 514 | 0 401
106 100 273 | 0 255
117 100 188 | 0 373
109 99 174 | 0 278
105 96 10 | 0 381
117 100 500 | 0 359
105 96 532 | 0 220
117 100 232 | 91 91
117 100 708 | 0 397
117 100 580 | 77 81
109 99 322 | 0 330
106 100 307 | 0 111
106 100 61 | 0 197
117 100 179 | 0 323
117 100 352 | 0 364
117 100 692 | 0 404
109 99 570 | 0 245
117 100 596 | 85 74
106 100 813 | 0 216
117 100 630 | 0 407
109 99 571 | 0 299
109 99 128 | 0 368
109 99 959 | 73 88
117 100 240 | 91 78
109 99 892 | 0 208
106 100 769 | 0 138
109 99 997 | 109 99
117 100 380 | 89 98
103 95 692 | 0 404
117 100 696 | 0 421
109 99 933 | 0 169
117 100 986 | 0 404
106 100 897 | 63 76
117 100 754 | 0 223
117 100 590 | 0 126
117 100 242 | 73 88
117 100 471 | 0 312
103 95 285 | 0 371
117 100 300 | 0 302
117 100 712 | 0 449
109 99 132 | 0 302
105 96 558 | 0 188
106 100 191 | 72 71
109 99 697 | 0 199
117 100 8 | 0 159
117 100 776 | 105 96
109 99 604 | 0 310
117 100 168 | 89 98
117 100 924 | 0 214
106 100 63 | 0 273
117 100 876 | 0 415
106 100 603 | 0 355
117 100 558 | 85 95
117 100 939 | 0 271
117 100 456 | 103 95
117 100 714 | 50 47
117 100 398 | 0 348
117 100 146 | 0 267
117 100 65 | 0 169
117 100 574 | 0 285
117 100 252 | 79 74
109 99 705 | 0 323
106 100 422 | 0 244
117 100 88 | 83 90
109 99 274 | 0 300
103 95 708 | 0 176
117 100 138 | 91 91
117 100 142 | 0 180
117 100 150 | 83 90
106 100 635 | 0 172
109 99 128 | 0 241
98 93 98 | 0 312
109 99 480 | 0 273
117 100 932 | 0 228
117 100 784 | 91 78
117 100 350 | 0 233
109 99 430 | 0 228
106 100 203 | 51 64
106 100 99 | 0 295
117 100 133 | 0 212
117 100 799 | 0 437
105 96 261 | 0 347
106 100 145 | 105 96
117 100 310 | 0 134
106 100 263 | 0 171
117 100 716 | 0 286
105 96 168 | 0 242
117 100 114 | 0 231
117 100 268 | 78 98
106 100 390 | 0 297
106 100 1 | 0 332
117 100 829 | 0 163
117 100 82 | 0 311
109 99 50 | 0 397
106 100 715 | 91 91
109 99 111 | 0 329
109 99 780 | 0 202
117 100 783 | 0 250
117 100 418 | 0 254
106 100 523 | 0 301
117 100 60 | 0 325
106 100 3 | 0 204
117 100 660 | 0 155
117 100 677 | 0 121
109 99 200 | 0 319
109 99 330 | 90 92
105 96 614 | 85 95
109 99 631 | 73 70
117 100 40 | 0 316
117 100 188 | 109 99
117 100 298 | 0 304
117 100 103 | 0 426
105 96 312 | 0 331
117 100 90 | 65 69
117 100 329 | 105 96
117 100 406 | 0 282
109 99 622 | 0 183
109 99 479 | 0 242
117 100 534 | 0 321
109 99 609 | 0 129
117 100 308 | 0 211
117 100 416 | 109 99
117 100 44 | 0 226
117 100 192 | 0 275
117 100 564 | 0 286
105 96 378 | 0 325
117 100 991 | 117 100
117 100 290 | 106 100
117 100 6 | 0 392
117 100 778 | 0 327
117 100 771 | 0 245
117 100 97 | 117 100
117 100 234 | 0 304
109 99 8 | 0 344
117 100 526 | 0 368
117 100 635 | 0 251
117 100 284 | 0 230
117 100 563 | 0 214
