109 99 457 | 85 100
117 100 523 | 117 100
117 100 967 | 89 98
117 100 378 | 98 93
117 100 1568 | 117 100
117 100 1647 | 117 100
117 100 931 | 91 91
117 100 371 | 80 91
117 100 1122 | 117 100
117 100 381 | 106 100
106 100 508 | 85 95
117 100 893 | 117 100
117 100 1751 | 117 100
117 100 846 | 89 98
109 99 466 | 78 98
117 100 1012 | 97 95
117 100 783 | 117 100
117 100 1042 | 117 100
109 99 1405 | 90 92
117 100 639 | 85 100
117 100 1320 | 98 93
117 100 1024 | 117 100
117 100 926 | 105 96
117 100 1513 | 92 95
117 100 379 | 117 100
109 99 476 | 91 91
117 100 192 | 91 91
117 100 628 | 117 100
117 100 1262 | 85 95
117 100 242 | 117 100
106 100 1447 | 91 91
117 100 937 | 98 93
117 100 1039 | 105 96
117 100 133 | 103 95
109 99 307 | 80 91
117 100 761 | 109 99
117 100 786 | 117 100
117 100 901 | 85 95
109 99 823 | 89 98
117 100 354 | 83 90
117 100 1458 | 99 97
117 100 1121 | 106 100
117 100 58 | 109 99
117 100 1577 | 117 100
117 100 1338 | 117 100
117 100 1450 | 109 99
109 99 127 | 99 97
117 100 1306 | 103 95
109 99 1185 | 85 95
117 100 702 | 89 98
109 99 1461 | 106 100
117 100 454 | 117 100
109 99 1177 | 85 100
117 100 1476 | 103 95
117 100 888 | 117 100
117 100 1018 | 105 96
117 100 1175 | 117 100
117 100 363 | 77 81
117 100 463 | 117 100
117 100 1346 | 97 95
117 100 820 | 109 99
117 100 870 | 85 100
117 100 899 | 117 100
117 100 34 | 117 100
117 100 1014 | 105 96
117 100 1405 | 89 98
117 100 707 | 92 95
117 100 1108 | 89 98
109 99 682 | 87 93
106 100 988 | 97 95
117 100 1378 | 103 95
117 100 1410 | 77 86
117 100 453 | 92 95
117 100 648 | 105 96
117 100 1074 | 106 100
117 100 1599 | 117 100
117 100 1827 | 117 100
117 100 306 | 105 96
117 100 1469 | 109 99
117 100 1492 | 117 100
117 100 224 | 117 100
109 99 844 | 105 96
117 100 192 | 87 93
117 100 108 | 98 93
117 100 69 | 83 90
117 100 688 | 109 99
117 100 104 | 97 95
117 100 797 | 117 100
117 100 430 | 98 93
117 100 115 | 98 93
117 100 757 | 105 96
117 100 126 | 89 98
117 100 1732 | 117 100
117 100 608 | 89 98
117 100 862 | 105 96
117 100 194 | 106 100
117 100 1625 | 117 100
117 100 1642 | 103 95
117 100 533 | 79 85
117 100 117 | 117 100
117 100 1269 | 77 81
109 99 849 | 92 95
117 100 86 | 84 88
117 100 1589 | 103 95
117 100 157 | 76 69
117 100 642 | 84 88
117 100 177 | 105 96
117 100 1147 | 109 99
117 100 342 | 105 96
117 100 741 | 91 91
117 100 430 | 73 88
117 100 676 | 98 93
117 100 1054 | 105 96
117 100 369 | 117 100
117 100 842 | 117 100
106 100 89 | 92 95
117 100 139 | 117 100
117 100 1108 | 117 100
117 100 743 | 92 95
109 99 1144 | 91 91
117 100 1060 | 105 96
109 99 1242 | 91 91
117 100 821 | 106 100
117 100 1613 | 103 95
117 100 1440 | 97 95
117 100 1531 | 103 95
117 100 368 | 90 92
117 100 456 | 105 96
117 100 936 | 84 88
109 99 754 | 89 98
117 100 806 | 105 96
117 100 104 | 105 96
