117 100 352 | 0 195
117 100 236 | 0 235
117 100 1857 | 77 73
117 100 2770 | 103 95
109 99 872 | 0 382
117 100 830 | 0 176
117 100 280 | 58 66
109 99 440 | 0 294
117 100 406 | 0 308
117 100 356 | 0 188
117 100 50 | 79 85
117 100 412 | 0 274
117 100 1807 | 0 315
117 100 2005 | 0 158
117 100 1784 | 0 304
117 100 1238 | 79 85
117 100 832 | 77 86
109 99 1750 | 0 257
117 100 86 | 90 92
117 100 304 | 0 221
117 100 659 | 0 140
117 100 507 | 0 356
117 100 2168 | 0 347
117 100 100 | 0 172
109 99 146 | 0 221
117 100 1452 | 73 70
109 99 104 | 97 95
117 100 1598 | 0 338
117 100 1282 | 0 273
117 100 630 | 0 298
117 100 570 | 0 287
117 100 986 | 0 349
117 100 390 | 0 162
117 100 168 | 0 346
117 100 1120 | 84 88
117 100 1852 | 0 261
117 100 486 | 0 334
117 100 314 | 0 440
117 100 2062 | 0 198
117 100 1529 | 91 91
117 100 142 | 0 320
117 100 1638 | 0 243
117 100 535 | 0 334
117 100 1115 | 0 240
117 100 246 | 0 243
117 100 2100 | 0 336
117 100 1096 | 0 311
117 100 1554 | 0 347
117 100 1474 | 117 100
109 99 1210 | 0 254
