117 100 590 | 85 100
117 100 2 | 106 100
117 100 198 | 117 100
117 100 9 | 97 95
117 100 463 | 79 85
99 97 290 | 73 88
117 100 179 | 109 99
109 99 5 | 91 91
109 99 562 | 78 98
117 100 39 | 98 93
109 99 37 | 90 92
99 97 33 | 98 93
117 100 634 | 109 99
105 96 557 | 98 93
106 100 350 | 89 98
117 100 486 | 105 96
117 100 75 | 117 100
109 99 582 | 87 93
117 100 106 | 89 98
117 100 269 | 99 97
99 97 253 | 98 93
117 100 11 | 109 99
117 100 818 | 117 100
97 95 133 | 87 93
117 100 508 | 109 99
117 100 635 | 117 100
106 100 230 | 91 91
109 99 564 | 85 100
99 97 196 | 84 88
106 100 436 | 98 93
106 100 371 | 83 90
109 99 145 | 92 95
106 100 211 | 83 90
117 100 76 | 91 91
117 100 396 | 117 100
117 100 545 | 99 97
105 96 284 | 85 100
106 100 432 | 85 100
106 100 385 | 97 95
106 100 111 | 90 92
105 96 118 | 105 96
117 100 510 | 117 100
117 100 114 | 117 100
117 100 563 | 89 98
117 100 670 | 117 100
106 100 465 | 91 91
117 100 641 | 109 99
117 100 289 | 109 99
117 100 623 | 109 99
117 100 394 | 89 98
117 100 484 | 83 90
117 100 242 | 109 99
117 100 79 | 89 98
117 100 217 | 80 91
103 95 480 | 83 90
109 99 37 | 77 81
109 99 336 | 90 92
109 99 562 | 99 97
105 96 177 | 89 98
106 100 218 | 90 92
109 99 371 | 106 100
117 100 316 | 78 98
117 100 329 | 91 91
117 100 582 | 103 95
97 95 352 | 77 86
106 100 256 | 103 95
117 100 451 | 77 81
106 100 29 | 105 96
109 99 361 | 85 100
106 100 121 | 89 98
117 100 244 | 105 96
117 100 516 | 105 96
117 100 635 | 103 95
117 100 187 | 91 91
106 100 721 | 106 100
109 99 147 | 84 88
117 100 499 | 90 92
117 100 485 | 79 85
117 100 668 | 117 100
109 99 493 | 90 92
117 100 445 | 97 95
117 100 467 | 77 81
117 100 48 | 79 85
117 100 730 | 117 100
117 100 317 | 103 95
109 99 556 | 84 88
117 100 209 | 105 96
117 100 1 | 106 100
117 100 459 | 105 96
109 99 311 | 106 100
109 99 95 | 91 91
109 99 92 | 99 97
117 100 659 | 117 100
117 100 776 | 117 100
117 100 287 | 106 100
105 96 119 | 77 86
117 100 434 | 117 100
91 91 146 | 77 86
109 99 78 | 89 98
117 100 659 | 117 100
106 100 63 | 89 98
117 100 177 | 99 97
117 100 219 | 85 100
117 100 57 | 77 81
117 100 437 | 87 93
117 100 203 | 98 93
117 100 14 | 109 99
109 99 77 | 80 91
106 100 232 | 98 93
117 100 247 | 90 92
106 100 462 | 84 88
109 99 382 | 78 98
98 93 55 | 80 91
117 100 203 | 98 93
109 99 1 | 85 95
117 100 70 | 83 90
117 100 262 | 89 98
117 100 243 | 117 100
117 100 23 | 117 100
109 99 373 | 99 97
103 95 428 | 78 98
105 96 296 | 80 91
117 100 690 | 117 100
106 100 117 | 92 95
117 100 739 | 117 100
117 100 65 | 97 95
